sample_id,target_class_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx1_sector,best_tx1_codebook,target_score,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
10,6,9.387818412758977,-0.22776202024594208,1.5,9.390580923926006,-1.389805637034101,2.5392125643488477,22.227044961309627,2.284794016646882,-1.6812991862463553,1.5,2.83673238994764,-36.348038402695,1.860951387961535,32.624524662351995,34.9582327656609,1,-77.77295684814453,31.3236026763916,0.0,1,-67.37547302246094,9.462321281433105,0.0,0,0,0.0,-5.0,-5.0,6,0,-30.0,-5.0,-35.0,0,0,6,0,11.824513271455599,14.729948728574309,20.684704090695742,4.940932984301536,6.883580287154063,11.824513271455599
11,6,5.651775880068588,-0.4870454018239918,1.5,5.672722787336162,-4.925332267404178,2.400315129470224,26.605062481757734,3.529253309573,-2.7768100192129985,1.5,4.490690682504604,-38.195603558949315,3.2522689521066197,28.634629836224548,33.270271291545136,1,-73.39493560791016,18.922164916992188,0.0,1,-71.36537170410156,14.979331970214844,0.0,0,0,0.0,-5.0,-5.0,6,0,-30.0,-5.0,-35.0,0,0,6,0,13.335054402854105,22.941528465029847,17.09501874776753,7.628320854975582,5.706733547878524,13.335054402854105
12,7,2.2068362500712766,-0.27653912368610084,1.5,2.2240953490256956,-7.1425162114145815,4.8656699947196245,34.73782501126656,8.241845624309887,-2.7625956779207246,1.5,8.692522888932896,-18.530708198745124,2.439273881365445,22.897975657606622,11.388191987330543,1,-65.26217651367188,7.418783664703369,4.440892098500626e-07,1,-77.10202026367188,28.995136260986328,0.0,0,0,0.0,-5.0,-5.0,7,0,-15.0,-5.0,-20.0,0,0,7,0,15.144898524201313,22.829737722560765,22.71519229075321,7.591374888810616,7.553523635390697,15.144898524201313
13,7,4.976071180057826,-0.7862435615561398,1.5,5.0378034228312805,-8.97878410217775,4.510507394159266,27.63606759060297,6.852270411933594,-2.4281229484435105,1.5,7.269758651497214,-19.51193692658044,2.7160599943563914,24.45049317086953,10.53315282440269,1,-72.36393737792969,16.804304122924805,0.0,1,-75.54950714111328,24.24930763244629,0.0,0,0,0.0,-5.0,-5.0,7,0,-15.0,-5.0,-20.0,0,0,7,0,9.90699134178726,11.141310264189542,21.299740589293215,3.8079338394749236,7.08627670179592,10.894210541270844
14,8,9.850913445971495,1.3956183070269106,1.5,9.949283701801384,8.063658041916248,4.445459681245692,21.72505668054552,7.0835198052255075,-0.17737997070549977,1.5,7.0857403625189015,-1.4344563811174451,2.7622106751594306,24.673188455369022,9.498114423033694,1,-78.27494049072266,33.18724060058594,0.0,1,-75.32681274414062,23.635486602783203,0.0,1,0,15.0,-5.0,10.0,0,0,0.0,-5.0,-5.0,1,0,0,0,11.782538813445345,21.168838818678474,14.101376756163635,7.0431169126315964,4.739421900813749,11.782538813445345
15,8,8.060202585341985,0.8613554311544115,1.5,8.106096403049548,6.099776969456528,2.8254299681096025,23.504658343236585,2.3631427445138584,-0.14985571117301782,1.5,2.3678894326213085,-3.6284809267170752,3.3147309962582407,34.19366439560609,9.728257896173602,1,-76.49534606933594,27.039026260375977,0.0,1,-65.80633544921875,7.898428916931152,0.0,1,0,15.0,-5.0,10.0,0,0,0.0,-5.0,-5.0,1,0,0,0,14.40924688702885,12.540161725896485,30.596736719027934,4.243974023485672,10.165272863543178,14.40924688702885
16,10,4.586574012833269,1.0805205300094227,1.5,4.712131767148423,13.256222054237526,3.148565164524364,28.216545572394867,1.908864900914319,0.9795685702170215,1.5,2.145534850264533,27.16544779572168,2.772549343563258,35.05018267151251,13.909225741484153,1,-71.78345489501953,15.717978477478027,0.0,1,-64.94981384277344,7.156733512878418,4.440892098500626e-07,1,0,15.0,-5.0,10.0,2,0,30.0,-5.0,25.0,1,0,2,0,9.460000227652536,13.228262335832037,14.90940318934351,4.461356241172155,4.99864398648038,9.460000227652536
17,10,5.951568264698221,1.2197615500542525,1.5,6.075276376293818,11.582262699387982,2.6744385742226666,26.009572120744853,6.973946619006232,3.0955991641587546,1.5,7.630115702260932,23.93550317521746,3.906783141411702,24.030270873383127,12.353240475829477,1,-73.99042510986328,20.26494026184082,0.0,1,-75.9697265625,25.451324462890625,0.0,1,0,15.0,-5.0,10.0,2,0,30.0,-5.0,25.0,1,0,2,0,15.645661853039575,23.104249323183982,23.955254077884494,7.682107384260896,7.963554468778679,15.645661853039575
18,11,5.818379910034847,0.9666734442212274,1.5,5.898135495668071,9.43303429072462,3.400262217622068,26.266596857365307,3.925438073864903,3.1565461650129745,1.5,5.037146787974946,38.80366043155534,2.8858848319105643,27.637201290925365,29.370626140830723,1,-73.7333984375,19.67406463623047,0.0,1,-72.36280059814453,16.802114486694336,0.0,1,0,15.0,-5.0,10.0,3,0,45.0,-5.0,40.0,1,0,3,0,16.794471592022106,24.45659134536559,26.073556890349018,8.129464842985662,8.665006749036444,16.794471592022106
19,11,3.5460992559792417,0.6097168217229384,1.5,3.598134869060421,9.7560503597573,3.4508417011757753,30.559344416397927,7.484822061927444,6.2974009189904425,1.5,9.781606188822849,40.07578495907791,4.542253256374879,21.872690068934123,30.319734599320608,1,-69.44065856933594,12.00208568572998,0.0,1,-78.12730407714844,32.6279296875,0.0,1,0,15.0,-5.0,10.0,3,0,45.0,-5.0,40.0,1,0,3,0,16.745550251036406,28.64319552549068,21.73094610214996,9.517034012388795,7.228516238647611,16.745550251036406
