sample_id,target_class_id,tx0_x,tx0_y,tx0_z,tx1_x,tx1_y,tx1_z,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,h11_power_db,h12_power_db,h21_power_db,h22_power_db,h11_num_paths,h12_num_paths,h21_num_paths,h22_num_paths,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx0_target_angle_deg,best_tx1_sector,best_tx1_codebook,best_tx1_target_angle_deg,target_score,best_score,target_is_best,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
0,2,0.0,-0.01,1.5,0.0,0.01,1.5,2.019693226734844,-0.0967106414228439,1.5,2.02200733883016,-2.741447231439299,3.1240454383687406,29.840372886485106,2.293980835255249,1.427038782244557,1.5,2.7016268725618637,31.884902338987494,4.792772211980251,27.338526862037675,34.6263495704268,-74.12451435110319,-76.66032470319736,-74.12862352276498,-76.62636037555062,1,1,1,1,0,0,0.0,0.0,0.0,2,0,30.0,0.0,30.0,0,0,0.0,2,0,30.0,-43.4179111438982,-43.4179111438982,1,-0.566011952061184,-2.8539435238720454,0.9090484262981245,0.602484594313291,1.5115330206114157
1,3,0.0,-0.01,1.5,0.0,0.01,1.5,2.465267765702167,0.020373262870369807,1.5,2.465351947785577,0.47348828424744926,1.459673183766765,28.116719242827735,1.693692971338187,1.6324270215741283,1.5,2.3523209521503983,43.9447514087223,2.4769904224368746,28.54976785100223,43.471263124474845,-75.84874961297326,-75.46636669674866,-75.84816799476056,-75.41511938658607,1,1,1,1,0,0,0.0,0.0,0.0,3,0,45.0,0.0,45.0,0,0,0.0,3,0,45.0,-5.4326660447276165,-5.4326660447276165,1,-1.8986742332418436,-1.512897798094091,0.7188340467947564,0.7704877697143712,1.4893218165091275
2,4,0.0,-0.01,1.5,0.0,0.01,1.5,2.3741151848707527,0.08479864708234851,1.5,2.3756291212183953,2.045621052567853,1.2718684941354241,28.439733272605636,1.301009948408258,1.9502369163041322,1.5,2.344365781095755,56.292606862098765,3.8331116190494137,28.58442221303713,54.24698580953091,-75.52776390959889,-75.4421077933584,-75.52515396498266,-75.38046502455116,1,1,1,1,0,0,0.0,0.0,0.0,4,0,60.0,0.0,60.0,0,0,0.0,4,0,60.0,-18.96844726861115,-18.96844726861115,1,-1.7898508759301777,-2.1542383080837095,0.7331280411841371,0.6861126215847112,1.4192406627688483
3,5,0.0,-0.01,1.5,0.0,0.01,1.5,2.122798493837482,0.060561020956220714,1.5,2.1236621865772207,1.6341400263400656,2.609457022930702,29.413439072516333,1.8865809835109857,-1.7396260096281426,1.5,2.566220267381585,-42.67931205108419,3.854871902243726,27.791138709634616,44.31345207742425,-74.55377966753603,-76.17374852795368,-74.55144816507196,-76.21963832489345,1,1,1,1,0,0,0.0,0.0,0.0,5,0,-45.0,0.0,-45.0,0,0,0.0,5,0,-45.0,-25.133079048295162,-25.133079048295162,1,-0.7355960837226344,-2.5455796121223537,0.8829875852202781,0.6382781059457759,1.521265691166054
4,6,0.0,-0.01,1.5,0.0,0.01,1.5,2.7178540855817035,0.06097829493833105,1.5,2.7185380598709195,1.2852834514162756,2.0010819133186044,27.2680270016497,1.9036658852094472,-1.12311365480966,1.5,2.2102778296246335,-30.539506010992348,1.176536406918666,29.085065716023976,31.824789462408624,-76.69829197092908,-74.87982152156432,-76.6968602359386,-74.91975888751067,1,1,1,1,0,0,0.0,0.0,0.0,6,0,-30.0,0.0,-30.0,0,0,0.0,6,0,-30.0,-2.6568804994180137,-2.6568804994180137,1,-2.824125987581273,-0.9739650423085948,0.6058736852175103,0.8472788683262881,1.4531525535437984
5,7,0.0,-0.01,1.5,0.0,0.01,1.5,2.5211763651729635,0.0647801671480867,1.5,2.522008472301885,1.4718580335235654,3.0088511499357145,27.919963386596333,2.19420533892507,-0.5040331481078965,1.5,2.2513521456579904,-12.93703810340041,4.428069464451788,28.913769084323675,14.408896136923975,-76.04669271321087,-75.05111815326461,-76.04492385099195,-75.06839120451912,1,1,1,1,0,0,0.0,0.0,0.0,7,0,-15.0,0.0,-15.0,0,0,0.0,7,0,-15.0,-36.75121625142062,-36.75121625142062,1,-2.2917256030653137,-1.7412848124430615,0.6689964770639273,0.7395772140711642,1.4085736911350915
6,10,0.0,-0.01,1.5,0.0,0.01,1.5,2.375910266910552,0.5346589888412807,1.5,2.435325405517659,12.682200892175171,4.235062931269601,28.23070140416951,1.7566911036965307,1.0991913016200958,1.5,2.0722415764972517,32.034910782419146,1.50676986880989,29.64745900379284,19.352709890243975,-75.74984560301789,-74.36189425019234,-75.73418583341878,-74.31742823379545,1,1,1,1,1,0,15.0,0.0,15.0,2,0,30.0,0.0,30.0,1,0,15.0,2,0,30.0,-24.351376387079394,-24.351376387079394,1,-2.1436294984882505,-0.6836947616336265,0.6874474400165523,0.8909054601555636,1.578352900172116
7,11,0.0,-0.01,1.5,0.0,0.01,1.5,2.53526164496436,0.7275736771600133,1.5,2.6375964558900087,16.012509914861138,1.9932263088771345,27.538941559670484,1.4954987189845386,1.3467558886296709,1.5,2.0125277245402335,42.00429051003142,4.3697085808448,29.908110483496948,25.99178059517028,-76.44411443434463,-74.11453892599722,-76.42594567791781,-74.05677675409135,1,1,1,1,1,0,15.0,0.0,15.0,3,0,45.0,0.0,45.0,1,0,15.0,3,0,45.0,-26.093725374407118,-26.093725374407118,1,-2.5365545033764874,-0.5763546342945594,0.6393506959299573,0.9074433491758874,1.5467940451058446
8,12,0.0,-0.01,1.5,0.0,0.01,1.5,2.226395295220801,0.5291105092663836,1.5,2.288404234744694,13.368540414926212,4.167737471233235,28.772123662277092,1.3499575097561103,2.3381949949567407,1.5,2.69991501951222,60.0,2.7622286006859693,27.354966045992647,46.631459585073785,-75.21031392372515,-76.6656416320335,-75.1927635753112,-76.60992119159565,1,1,1,1,1,0,15.0,0.0,15.0,4,0,60.0,0.0,60.0,1,0,15.0,4,0,60.0,-30.564791715008795,-30.564791715008795,1,-1.3911414327324811,-2.64736522254849,0.7873615350070503,0.6262802661376597,1.41364180114471
9,13,0.0,-0.01,1.5,0.0,0.01,1.5,2.0887145767490614,0.7000949187620169,1.5,2.202921123962546,18.53011091533776,2.4858774714004923,29.106557340057776,1.6552922944676025,-1.6387488411324007,1.5,2.329268199335707,-44.71224946913243,2.561313427234124,28.635922569409566,63.24236038447019,-74.88339054714628,-75.32896466817873,-74.85832989753051,-75.38143577387214,1,1,1,1,1,0,15.0,0.0,15.0,5,0,-45.0,0.0,-45.0,1,0,15.0,5,0,-45.0,-10.740352891644434,-10.740352891644434,1,-1.588942243772173,-1.4241508763893564,0.7600886728886108,0.782759627401716,1.5428483002903268
