sample_id,target_class_id,tx0_x,tx0_y,tx0_z,tx1_x,tx1_y,tx1_z,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,h11_power_db,h12_power_db,h21_power_db,h22_power_db,h11_num_paths,h12_num_paths,h21_num_paths,h22_num_paths,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx0_target_angle_deg,best_tx1_sector,best_tx1_codebook,best_tx1_target_angle_deg,target_score,best_score,target_is_best,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
0,0,0.0,-0.01,1.5,0.0,0.01,1.5,4.923242808897812,8.52730668300912,1.5,9.846485617795622,60.0,4.83306578146337,-8.903905725070272,2.7922509881266153,-0.7802807749549032,1.5,2.8992246667787382,-15.612758621121952,3.7039287396868272,1.7164601961304666,75.61275862112196,-87.88407188879057,-77.24842704145783,-87.86879296265857,-77.26455367371015,1,1,1,1,4,1,60.0,0.0,60.0,7,1,-15.0,0.0,-15.0,4,1,60.0,7,1,-15.0,-53.44691357574688,-53.44691357574688,1,-8.919743591975605,1.673796280743117,0.1740747962811651,1.3046342004087976,1.4787089966899627
1,1,0.0,-0.01,1.5,0.0,0.01,1.5,1.821523093855519,0.8309766684548019,1.5,2.002116031843615,24.522415229612356,4.045073776179004,4.9422282867459675,5.360254671655075,-2.1567598112985373,1.5,5.777883957698749,-21.91795303697349,3.4255453626603782,-4.275696446882811,46.44036826658585,-74.05867020476339,-83.2405836844711,-74.02265895084233,-83.25180701213327,1,1,1,1,2,0,30.0,-5.0,25.0,7,0,-15.0,-5.0,-20.0,2,0,25.0,7,0,-20.0,-23.510619349689552,-23.510619349689552,1,4.880479600158098,-4.485404668295503,2.0273085535599247,0.4393654944602337,2.4666740480201583
2,2,0.0,-0.01,1.5,0.0,0.01,1.5,2.9097416513984706,1.9954433787730357,1.5,3.528227707471876,34.44156023419866,3.8951162567606215,0.01685587652761288,3.225568265519509,-1.350789916417825,1.5,3.4969878515406094,-22.722755616313947,2.989632801443352,0.0897641887738507,57.16431585051261,-78.97587678254519,-78.87512304881444,-78.94803136106069,-78.89431005990198,1,1,1,1,2,2,30.0,5.0,35.0,6,2,-30.0,5.0,-25.0,2,2,35.0,6,2,-25.0,-23.060660317957932,-23.060660317957932,1,-0.032036560519913215,-0.21138202421884214,0.9946886555882783,0.9653173840369561,1.9600060396252346
3,3,0.0,-0.01,1.5,0.0,0.01,1.5,4.175766530902691,-2.8787689790585507,1.5,5.071916497281565,-34.582338080404966,3.5659522837757196,-3.139649384607174,3.1051762057707473,-1.2783444572526697,1.5,3.358017840970092,-22.376072265316715,2.104544122974056,0.4422372206157551,12.206265815088251,-82.10453662219547,-78.52265001697253,-82.12397710946185,-78.54234391177297,1,1,1,1,6,0,-30.0,-5.0,-35.0,7,0,-15.0,-5.0,-20.0,6,0,-35.0,7,0,-20.0,-19.489952127186235,-19.489952127186235,1,-3.2990746223358873,-0.5068056976526095,0.5536896215338641,0.9182758369248626,1.4719654584587267
