sample_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_beam_label,tx0_codebook_label,tx0_effective_angle_deg,tx1_beam_label,tx1_codebook_label,tx1_effective_angle_deg,independent_u1_beam,independent_u1_codebook,independent_u2_beam,independent_u2_codebook,u1_sinr_db,u2_sinr_db,u1_rate_bpshz,u2_rate_bpshz,sum_rate_bpshz,joint_score
0,5.061869320951141,4.836131906867738,1.5,7.000763732837336,43.6935181066533,2.2006651396449017,24.84719524801499,7.089833462094748,-4.130890234668816,1.5,8.205485521961549,-30.227209101034894,4.494213781585048,23.46801755397333,73.9207272076882,1,-75.15280151367188,23.352033615112305,0.0,1,-76.531982421875,27.37055206298828,0.0,6,29,43.596774193548384,1,31,-30.5,6,29,1,31,23.69003460271301,22.59589917326675,7.875814381690503,7.514109172147313,15.389923553837816,15.389923553837816
1,1.6659291200991018,1.18107756416037,1.5,2.042122436524598,35.33512602210429,2.212129707277254,35.548466649515674,8.36068816101217,-0.5153390596953404,1.5,8.37655543001637,-3.527155187190715,2.1137024484030933,23.28879497963506,38.862281209295006,1,-64.45153045654297,6.811786651611328,4.440892098500626e-07,1,-76.7112045288086,27.941181182861328,0.0,7,14,51.82258064516129,2,20,-20.467741935483872,6,11,3,24,26.744092148793847,20.0308799891991,8.887245152563512,6.6683683843518695,15.55561353691538,15.55561353691538
2,4.016523236917043,-0.4251027190460841,1.5,4.038956701232997,-6.041606352908879,4.982001133737571,29.624720387761577,6.0045756165604995,0.6188929399999062,1.5,6.036386071663626,5.88470872819417,4.170647676855012,26.13456349982461,11.926315081103048,1,-70.37528228759766,13.472508430480957,0.0,1,-73.86544036865234,20.135217666625977,0.0,0,31,-45.5,7,3,46.854838709677416,3,19,4,12,11.188326770124746,7.629380815747362,3.8224428099268204,2.7641467403697977,6.586589550296618,-0.059051231008544036
3,4.12232534448041,5.629477478722479,1.5,6.977433835529301,53.78561624500733,3.450158417092123,24.876188392258214,2.958104391627063,-2.25973410517122,1.5,3.7224695858847916,-37.376676275637095,1.1757680318455335,30.333479529509624,91.16229252064443,1,-75.12380981445312,23.274213790893555,0.0,1,-69.66651916503906,12.416821479797363,0.0,7,18,53.62903225806451,1,16,-37.274193548387096,7,18,1,16,23.71210886281702,27.153156386899596,7.883116151967673,9.022859444217207,16.90597559618488,16.90597559618488
4,2.2845086075768375,0.06531928840361244,1.5,2.285442230188769,1.6377702298507302,3.5169050179640418,34.57069794769933,3.9881645065105853,4.113807530086099,1.5,5.729648202602313,45.888455051213754,3.0564705863980555,26.587543673642013,44.25068482136302,1,-65.4292984008789,7.623414993286133,0.0,1,-73.41246032714844,19.112049102783203,0.0,3,10,-9.983870967741936,7,27,57.693548387096776,4,3,7,1,27.62010130746587,23.84248414694256,9.17769243508359,7.926245143246704,17.103937578330292,17.103937578330292
5,6.325213698182527,-4.097174727273031,1.5,7.5362569670547135,-32.93326036143053,4.320190919206983,24.206988611068244,2.871844882521582,-4.039470552018991,1.5,4.956290484817654,-54.58923337427164,1.6178443242457594,27.846968363359448,21.655973012841116,1,-75.79301452636719,25.138248443603516,0.0,1,-72.15303039550781,16.53240394592285,0.0,1,27,-32.306451612903224,5,17,23.177419354838708,1,26,0,11,23.188287973758293,-25.97330038735774,7.709889787280697,0.003641633742182553,7.713531421022879,2.502230768964907
6,6.364643980757735,3.1864544208174985,1.5,7.11773733554021,26.59480420980428,3.0310889452014,24.70326347400002,2.723446232367275,0.21557483423752646,1.5,2.7319648405043653,4.525820351413763,4.485357506771523,33.020600685595014,22.068983858390517,1,-75.29673767089844,23.742216110229492,0.0,1,-66.97940063476562,9.112853050231934,0.0,7,31,59.5,2,9,-25.435483870967744,5,25,4,9,12.874584990595556,20.02815269642872,4.349412971402208,6.667471307312584,11.016884278714791,11.016884278714791
7,4.803491179456266,0.9163364441096502,1.5,4.890112472113261,10.800247392793437,2.2921453850328266,27.963727810224746,2.416665709235463,-0.5295921643892585,1.5,2.474013138764029,-12.360501877819843,1.6007989162818075,33.88206262310307,23.16074927061328,1,-72.03627014160156,16.311660766601562,0.0,1,-66.11793518066406,8.252419471740723,0.0,6,29,43.596774193548384,1,1,-44.04838709677419,4,23,3,5,16.289918154660356,20.09746798117859,5.444900229011105,6.690272605109404,12.135172834120509,12.135172834120509
8,8.30323830345309,-1.956823595034303,1.5,8.530704830552605,-13.260921129465629,3.420225015319405,23.13040556332364,9.683634955723566,1.6899057088405987,1.5,9.829983075289773,9.899086231167132,3.551986323153329,21.89904881081377,23.16000736063276,1,-76.86959075927734,28.455364227294922,0.0,1,-78.1009521484375,32.78929138183594,0.0,1,10,-39.983870967741936,6,17,38.17741935483871,3,3,4,21,14.919509415202201,12.73958071320658,5.001896308675101,4.306798402125201,9.308694710800303,9.308694710800303
9,5.8073537110989895,-4.605050091679176,1.5,7.411601950502306,-38.413317891479444,2.6099931924159265,24.35186294475769,4.846453048369547,-2.6476375433124617,1.5,5.5225077375055,-28.647964198752433,1.3868163757269825,26.907376907749736,9.765353692727011,1,-75.64813232421875,24.722442626953125,0.0,1,-73.09262084960938,18.421104431152344,0.0,0,0,-59.5,4,2,1.403225806451613,1,13,2,2,9.775305311827086,0.37337874143981764,3.3917371404148695,1.0633494100654233,4.455086550480293,4.245824794731701
