sample_id,target_class_id,tx0_x,tx0_y,tx0_z,tx1_x,tx1_y,tx1_z,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,h11_power_db,h12_power_db,h21_power_db,h22_power_db,h11_num_paths,h12_num_paths,h21_num_paths,h22_num_paths,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx0_target_angle_deg,best_tx1_sector,best_tx1_codebook,best_tx1_target_angle_deg,target_score,best_score,target_is_best,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
10,1,0.0,-0.01,1.5,0.0,0.01,1.5,7.34197103530098,-0.5519761515110961,1.5,7.3626908365784,-4.299461271960238,3.393125906844903,-6.3857769392922945,8.360700162496954,0.2814890651444868,1.5,8.365437424365357,1.928312852375755,4.518553773501925,-7.495352243505753,6.227774124335993,-85.35066417688058,-86.46093952831329,-85.35243253722828,-86.46023948109404,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,2,5.0,-56.404529851843485,-56.34488612384564,0,-7.141682524469814,-8.102411990367267,0.25474156857654834,0.20763759993845163,0.46237916851499994
11,1,0.0,-0.01,1.5,0.0,0.01,1.5,7.756044125204648,-0.7218528123603163,1.5,7.78956301436955,-5.317184708546502,4.376432967078822,-6.875156482887029,5.990242961864215,0.0815016215643077,1.5,5.990797380689934,0.7795027439998155,1.4524960332488037,-4.595428235215132,6.096687452546317,-85.84004372047532,-83.56071039574505,-85.84211116187291,-83.56031547280341,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-36.06715080006313,-36.06715080006313,1,-7.468096033113339,-5.526867739867499,0.23773392376904195,0.35625660155501976,0.5939905253240617
12,1,0.0,-0.01,1.5,0.0,0.01,1.5,8.55652427524669,-1.0159798590521618,1.5,8.616630591297596,-6.7714508078186,1.748738609788584,-7.751488411722808,9.740063104641012,0.345568024368841,1.5,9.746191386477863,2.0319465830472216,1.9217755049684655,-8.822308705778946,8.803397390865822,-86.7163756493111,-87.78782719560098,-86.71875325745744,-87.78719594336724,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,2,5.0,-10.666340062283412,-10.651055733641929,0,-8.31487250822099,-9.342370101824118,0.1983749378105599,0.15878823795904973,0.35716317576960965
13,1,0.0,-0.01,1.5,0.0,0.01,1.5,9.645087336421604,-0.9927498878090563,1.5,9.696043629591674,-5.876647555213968,4.336684040895571,-8.776901335754024,5.07611880892251,0.17389742924823667,1.5,5.079096620285544,1.9620686791490245,1.8657649468971478,-3.161082831527363,7.838716234362993,-87.74178857334232,-82.12714141855578,-87.74362246445074,-82.12597006911565,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-38.222725534477554,-38.222725534477554,1,-9.178558682879672,-4.39038565269906,0.16455650268029476,0.44771959472795847,0.6122760974082533
14,1,0.0,-0.01,1.5,0.0,0.01,1.5,8.01249360532532,-0.9535635516016,1.5,8.069035705852478,-6.786825917442646,4.874711501637,-7.18108793179773,6.982820923077,-0.09568353277104821,1.5,6.983476453902131,-0.7850580118924864,1.480835271431979,-5.927195335647012,6.001767905550159,-86.14597516938602,-84.89208257323531,-86.14852047294207,-84.8924222891429,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-45.71282124741977,-45.71282124741977,1,-7.799020524981346,-6.7711556546372424,0.2215629927896646,0.27539076529905115,0.4969537580887158
15,1,0.0,-0.01,1.5,0.0,0.01,1.5,7.923930480541384,-0.7982576071503085,1.5,7.964037259319305,-5.752575228739458,1.3253874121268603,-7.067500423195562,7.293057552957055,0.1643563425568435,1.5,7.294909285116753,1.2909991436024697,3.3902505941018517,-6.306059788879025,7.0435743723419275,-86.03238766078385,-85.27148391186073,-86.03457544909132,-85.27094702646733,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,7,2,-10.0,0,1,0.0,-21.459172328561976,-21.39532843527243,0,-7.630889612136937,-6.978480392600427,0.22964752496222182,0.2636562560906284,0.4933037810528502
16,1,0.0,-0.01,1.5,0.0,0.01,1.5,4.473798231250447,-0.5227508544145775,1.5,4.504235680970834,-6.664630461274034,3.7293688290999696,-2.116126133713839,6.809799339443235,-0.19458414456437437,1.5,6.81257880929075,-1.636732141083411,3.8915869685003988,-5.711797592730522,5.027898320190623,-81.08101337130213,-84.6766848303188,-81.08548970230906,-84.6774140784761,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-45.89679476636853,-45.89679476636853,1,-3.5838280864914145,-6.7672790917580805,0.5242084651554008,0.2756146274960189,0.7998230926514196
17,1,0.0,-0.01,1.5,0.0,0.01,1.5,9.15882886402135,-0.9599201916020967,1.5,9.208995218517384,-5.983222150911895,3.0558178474515336,-8.329188661410495,9.814920736144318,0.08080354265720151,1.5,9.815253347178649,0.4716897360388126,4.337399198217989,-8.883883561818228,6.454911886950708,-87.29407589899878,-87.8489165333055,-87.29604210176473,-87.84877079940654,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-51.081051168926315,-51.081051168926315,1,-8.77296936231227,-9.267692597335127,0.17970049274124028,0.16139373144808988,0.34109422418933016
18,1,0.0,-0.01,1.5,0.0,0.01,1.5,9.823331013467271,-0.7376101233842632,1.5,9.850984767741085,-4.294143018675318,3.9972164355688156,-8.91485915780616,9.893112499292027,0.1606014944798016,1.5,9.89441598901508,0.930038915856656,1.5869954855703736,-8.9535868732015,5.224181934531974,-87.87974639539445,-87.91875895314558,-87.88106727157816,-87.91847411078979,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-33.24186875696831,-33.24186875696831,1,-9.364357488702828,-9.344130540697735,0.15802871269842625,0.15872729896257565,0.31675601166100187
19,1,0.0,-0.01,1.5,0.0,0.01,1.5,8.379647502037251,-0.7480217907883052,1.5,8.41296789830398,-5.101072972037078,2.4556988765874506,-7.5439947070932,6.815022240264009,0.23942226607081368,1.5,6.819226580542954,2.0120617959619382,4.112245552316933,-5.720186810832331,7.113134767999016,-86.50888194468149,-84.6859686679218,-86.51071719621467,-84.68507404842063,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-38.81814930445773,-38.81814930445773,1,-8.066444678497072,-6.52920339556482,0.20924494647215697,0.2896831351779448,0.4989280816501018
