sample_id,target_class_id,tx0_x,tx0_y,tx0_z,tx1_x,tx1_y,tx1_z,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,h11_power_db,h12_power_db,h21_power_db,h22_power_db,h11_num_paths,h12_num_paths,h21_num_paths,h22_num_paths,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx0_target_angle_deg,best_tx1_sector,best_tx1_codebook,best_tx1_target_angle_deg,target_score,best_score,target_is_best,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
0,0,0.0,-0.01,1.5,0.0,0.01,1.5,8.613489607912697,-3.5504423613262146,1.5,9.316536061579953,-22.401240288508383,3.2790413955713897,16.572537767271783,3.7947761144678607,-0.8764650988000445,1.5,3.894678013437101,-13.005332363276768,1.120128825291339,24.14963894593219,9.395907925231615,-87.3923494703165,-79.8152482916561,-87.39945531619021,-79.82528596031598,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-18.527732963207896,-18.527732963207896,1,-8.725417618976646,-1.653031647399064,0.18155942868663694,0.7514075040030718,0.9329669326897088
1,0,0.0,-0.01,1.5,0.0,0.01,1.5,6.776218193833547,-2.9939606421171043,1.5,7.4081666650384586,-23.837450672356724,3.248967274224062,18.564595591202785,8.108362847898215,-1.9511890969481833,1.5,8.339825355798856,-13.530351403876374,4.146987348477229,17.533369995117305,10.30709926848035,-85.40029164638551,-86.43151724247099,-85.4097685689216,-86.43639015589972,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-47.878471578328494,-47.878471578328494,1,-6.608523147759672,-7.793905934529327,0.2849253602628005,0.2218049960745068,0.5067303563373073
2,0,0.0,-0.01,1.5,0.0,0.01,1.5,3.8955763713078357,-1.6283710869297965,1.5,4.222215965750787,-22.685180006766313,2.893184033325925,23.451185147016687,3.758718074407593,-0.931782259214195,1.5,3.872490121545132,-13.92288746322103,4.0250174616497265,24.19964154807144,8.762292543545282,-80.51370209057161,-79.76524568951686,-80.52956981378289,-79.77603829902526,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-30.479166560510304,-30.479166560510304,1,-2.3262026863719485,-1.9361139412039121,0.6647573604899787,0.7139663169568682,1.378723677446847
3,0,0.0,-0.01,1.5,0.0,0.01,1.5,7.453962059052201,-2.825276172456897,1.5,7.971432482837851,-20.758217418280875,2.2858000971596053,17.92720791996598,5.840962277373779,-1.3911399967806153,1.5,6.004340997673787,-13.396532961617147,4.691129303074007,20.388112216035932,7.361684456663728,-86.03767931762232,-83.57677502155235,-86.0454029307629,-83.58347863756342,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-44.98036056397003,-44.98036056397003,1,-7.953772365577146,-5.083334461968033,0.21435529297967598,0.3898065279625967,0.6041618209422727
4,0,0.0,-0.01,1.5,0.0,0.01,1.5,3.796610479522815,-1.711913977092641,1.5,4.1647209508186265,-24.27089319148217,2.387195166430771,23.570915866966512,6.299714643880378,-1.3209316420254498,1.5,6.436712281687362,-11.842282874639162,2.053576900318596,19.783555774983423,12.428610316843008,-80.39397137062178,-84.18133146260487,-80.41111704256765,-84.18687000995247,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,4,-9.0,-10.193904452926366,-10.141748047293913,0,-1.8943978560872974,-5.429733616984212,0.7193916664822383,0.3633789734505604,1.0827706399327988
5,0,0.0,-0.01,1.5,0.0,0.01,1.5,8.867638264844528,-3.357132213534212,1.5,9.481842916610884,-20.735786223594104,3.0728882981466366,16.41946166935988,5.064749954552343,-1.100745703404413,1.5,5.182984970622742,-12.261674601854534,3.166951948174524,21.66602384503681,8.47411162173957,-87.54542556822841,-82.29886339255148,-87.55191222711593,-82.30598202490438,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-30.419099876414286,-30.419099876414286,1,-9.379422617070736,-3.698891815885558,0.15751029368469516,0.5126702555289467,0.6701805492136419
6,0,0.0,-0.01,1.5,0.0,0.01,1.5,1.9515768630665329,-0.8504966690184337,1.5,2.128848711503018,-23.547559190747386,1.2455527368223018,29.407416510563955,7.70558607009447,-1.8402239672753524,1.5,7.922277509237389,-13.431619835313457,2.608247641756739,17.979618103094044,10.115939355433929,-74.55747072702434,-85.98526913449425,-74.59006983328463,-85.9903630723372,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-9.451488724577281,-9.451488724577281,1,2.550984924656006,-7.347654987350922,1.4850552453861534,0.24388427644959673,1.7289395218357502
7,0,0.0,-0.01,1.5,0.0,0.01,1.5,5.766879367938364,-2.2126424763479147,1.5,6.1767859257458655,-20.99086289769693,1.4021786916440964,20.14385604945852,4.367587474289091,-0.95038871254733,1.5,4.469794072494205,-12.276212039524175,3.0682359763828804,22.9524394154228,8.714650858172753,-83.82103118812978,-81.01244782216548,-83.83110604652883,-81.02071130944458,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-13.098691609993896,-13.098691609993896,1,-5.834620569142799,-2.531602243567204,0.33449776237262496,0.639939856151828,0.974437618524453
8,0,0.0,-0.01,1.5,0.0,0.01,1.5,8.156666099060976,-3.724954612344906,1.5,8.966966528074039,-24.545047799739702,3.3579291092562915,16.90518763597693,8.158917555148268,-1.475517818424564,1.5,8.291265796257829,-10.25098726108395,3.0264461836090026,17.583520416209662,14.294060538655753,-87.05969960161136,-86.38136682137862,-87.06774596162458,-86.38509543249606,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,4,-9.0,-35.1351109610622,-35.05062706217837,0,-8.206315117762959,-7.659894408449572,0.2030585356675162,0.22823367394485686,0.431292209612373
9,0,0.0,-0.01,1.5,0.0,0.01,1.5,5.343407394133028,-2.492662282722151,1.5,5.896216399978983,-25.00872322081595,3.8284508218798803,20.54883005672549,9.201146497099263,-2.262962171567881,1.5,9.475341400236154,-13.81728698838182,3.806217972361821,16.424366086932256,11.191436232434128,-83.4160571808628,-87.54052115065603,-83.42851384250677,-87.54490063223085,1,1,1,1,6,4,-30.0,6.0,-24.0,7,3,-15.0,3.0,-12.0,6,4,-24.0,7,3,-12.0,-49.00585062957326,-49.00585062957326,1,-4.6945532379841435,-8.921589753597361,0.4214461821499241,0.17400510121461205,0.5954512833645361
